pattern_id,pattern_name,regex_pattern,description,capture_groups,example_match,priority
SQL-001,EXEC_SQL_BLOCK,EXEC\s+SQL\s+(.*?)\s+END-EXEC,Bloco SQL embutido completo,1: SQL statement,EXEC SQL SELECT * FROM BANCOS END-EXEC,HIGH
SQL-002,DECLARE_CURSOR,DECLARE\s+(\w+)\s+CURSOR\s+FOR\s+(.*?)(?=EXEC|DECLARE|$),Declaração de cursor,1: cursor_name 2: select_statement,DECLARE C1 CURSOR FOR SELECT * FROM BANCOS,HIGH
SQL-003,OPEN_CURSOR,OPEN\s+(\w+),Abertura de cursor,1: cursor_name,OPEN C1,MEDIUM
SQL-004,FETCH_CURSOR,FETCH\s+(\w+)\s+INTO\s+(.*?)(?=\n|$),Fetch de cursor,1: cursor_name 2: variables,FETCH C1 INTO :WS-COD :WS-NOME,MEDIUM
SQL-005,CLOSE_CURSOR,CLOSE\s+(\w+),Fechamento de cursor,1: cursor_name,CLOSE C1,MEDIUM
SQL-006,INSERT_STATEMENT,INSERT\s+INTO\s+(\w+)\s*\((.*?)\)\s*VALUES\s*\((.*?)\),Inserção de dados,1: table_name 2: columns 3: values,INSERT INTO BANCOS (COD NOME) VALUES (:V1 :V2),HIGH
SQL-007,UPDATE_STATEMENT,UPDATE\s+(\w+)\s+SET\s+(.*?)(?=WHERE|$),Atualização de dados,1: table_name 2: set_clause,UPDATE BANCOS SET ATIVO='N' WHERE COD=:V1,HIGH
SQL-008,DELETE_STATEMENT,DELETE\s+FROM\s+(\w+)(?:\s+WHERE\s+(.*?))?(?=\n|$),Deleção de dados,1: table_name 2: where_clause,DELETE FROM BANCOS WHERE COD=:V1,HIGH
SQL-009,SELECT_INTO,SELECT\s+(.*?)\s+INTO\s+(.*?)\s+FROM\s+(\w+)(?:\s+WHERE\s+(.*?))?(?=\n|$),Select com INTO,1: columns 2: variables 3: table_name 4: where_clause,SELECT COD INTO :WS-COD FROM BANCOS WHERE ATIVO='S',HIGH
SQL-010,SELECT_JOIN,SELECT\s+(.*?)\s+FROM\s+(\w+)\s+(?:INNER\s+)?JOIN\s+(\w+)\s+ON\s+(.*?)(?=WHERE|ORDER|GROUP|$),Select com JOIN,1: columns 2: table1 3: table2 4: join_condition,SELECT * FROM BANCOS B JOIN AGENCIAS A ON B.COD=A.COD_BANCO,MEDIUM
